model,J,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
symmetry_first_order,30,tail_ignored,omega_up_type,0.033904434781652976,0.0033904434781652977,0.03407353525600174,29.851599225538827,36.393407478299366,36.393407478299366,7.308099379506683e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.875516556500731,-12.872210719279124,1.7763568394002505e-15,0.0033058372216085985,True,True,exploratory_double
symmetry_first_order,30,tail_ignored,square,0.003408089539495919,0.003408089539495919,0.004819766448537004,29.81755142312454,36.393407478299366,36.393407478299366,7.308099379506683e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.859059282179137,-12.86056806298808,0.0015087808089440102,1.7763568394002505e-15,True,True,exploratory_double
signed_xxy_first_order,30,tail_ignored,x_only,0.2,0.0,0.2,36.393407478299366,36.393407478299366,36.393407478299366,7.308099379506683e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-13.35789251319255,-13.189512840739116,2.400915190050359,2.569294862503792,True,True,exploratory_double
signed_xxy_first_order,30,tail_ignored,y_only,0.0,0.09886373270055941,0.09886373270055941,36.393407478299366,36.393407478299366,36.393407478299366,7.308099379506683e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-13.959813648744342,-13.944573664577215,1.7763568394002505e-15,0.01523998416712935,True,True,exploratory_double
signed_xxy_first_order,30,tail_ignored,omega_up_type,0.2,0.020000000000000004,0.2009975124224178,36.393407478299366,36.393407478299366,36.393407478299366,7.308099379506683e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-13.637399066293009,-13.462063407637975,1.7574745621669052,1.9328102208219384,True,True,exploratory_double
signed_xxy_first_order,30,tail_ignored,square,0.09245855932833408,0.09245855932833408,0.1307561485596075,36.393407478299366,36.393407478299366,36.393407478299366,7.308099379506683e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-14.076366690996611,-14.021156712206315,8.881784197001252e-15,0.055209978790305314,True,True,exploratory_double
norm_bound,50,tail_ignored,x_only,0.004432063139251489,0.0,0.004432063139251489,29.612901749841285,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-12.821275520856597,-12.822762597567602,0.001487076711006452,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,50,tail_ignored,y_only,0.0,0.0033715723987370752,0.0033715723987370752,29.81506608050368,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-12.858482281738123,-12.860040493682183,0.0015582119440615827,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,50,tail_ignored,omega_up_type,0.003917219634977841,0.0003917219634977841,0.003936757011213987,29.636253280510534,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-12.82556409550376,-12.827069521293133,0.001505425789375181,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,50,tail_ignored,square,0.0019149731526233813,0.0019149731526233813,0.0027081810040203488,29.72739807225133,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-12.842325727694696,-12.843877374888244,0.001551647193549499,1.7763568394002505e-15,True,False,exploratory_double
