id,s_lo,s_hi,s_mid,midpoint_ritz,rayleigh_lower,rayleigh_upper,target_11_5_verified,down_scaled_upper
140,0.695,0.7,0.6975,12.0505268782016,12.0418324778835,12.0592212785177,0,-1.6016617304771
141,0.7,0.705,0.7025,12.0661203860673,12.0573666349859,12.0748741371662,0,-1.61815234534695
142,0.705,0.71,0.7075,12.0818676245849,12.0730052879264,12.0907299612469,0,-1.63536709930197
143,0.71,0.715,0.7125,12.097868791248,12.088847221912,12.1068903605795,0,-1.65303304286728
144,0.715,0.72,0.7175,12.1142263020976,12.1049941473842,12.1234584568189,0,-1.67087340946875
145,0.72,0.725,0.7225,12.1310433397078,12.1215492821623,12.1405373972471,0,-1.68861206757285
146,0.725,0.73,0.7275,12.1484223429691,12.1386158634423,12.1582288225032,0,-1.70597810957818
147,0.73,0.735,0.7325,12.1664634637145,12.1562956135753,12.1766313138574,0,-1.72271050073529
148,0.735,0.74,0.7375,12.1852630166418,12.1746871857729,12.1958388475091,0,-1.7385627057461
149,0.74,0.745,0.7425,12.2049119496312,12.1938846163421,12.2159392829401,0,-1.75330721204953
150,0.745,0.75,0.7475,12.2254943614285,12.2139758111014,12.2370129117761,0,-1.76673987050841
151,0.75,0.755,0.7525,12.2470860926467,12.23504109279,12.2591310925133,0,-1.77868397749968
152,0.755,0.76,0.7575,12.2697534143117,12.2571518342043,12.2823549944329,0,-1.78899402849107
153,0.76,0.765,0.7625,12.2935518356317,12.2803692002732,12.30673447098,0,-1.79755908229292
154,0.765,0.77,0.7675,12.3185250495487,12.3047430202694,12.3323070788246,0,-1.80222441188008
155,0.77,0.775,0.7725,12.3447040309638,12.3303108055472,12.3590972564053,0,-1.80484012287028
156,0.775,0.78,0.7775,12.3721062985597,12.357096926649,12.3871156704883,0,-1.80577638451925
157,0.78,0.785,0.7825,12.4007353470445,12.3851119595621,12.4163587345591,0,-1.80508818116521
158,0.785,0.79,0.7875,12.4305802525984,12.4143522024806,12.4468083027261,0,-1.80287272025347
159,0.79,0.795,0.7925,12.4616154506476,12.4447993688689,12.4784315324517,0,-1.79926980519887
160,0.795,0.8,0.7975,12.4938006819757,12.4764204495924,12.511180914369,0,-1.79446173002839
161,0.8,0.805,0.8025,12.5270811009818,12.5091677415132,12.5449944604863,0,-1.78867272028923
162,0.805,0.81,0.8075,12.5613875387634,12.5429790346228,12.5797960429023,0,-1.78216794238312
163,0.81,0.815,0.8125,12.5966369141033,12.5777779491589,12.6154958790542,0,-1.77525209241484
164,0.815,0.82,0.8175,12.6327327874214,12.6134744186313,12.6519911562186,0,-1.76826758502637
165,0.82,0.825,0.8225,12.6695660568523,12.6499653125086,12.6891668012041,0,-1.76159232515102
166,0.825,0.83,0.8275,12.707015801961,12.6871352019594,12.7268964019736,0,-1.75563704336164
167,0.83,0.835,0.8325,12.7449502894832,12.7248572776757,12.7650433013282,0,-1.75084213745355
168,0.835,0.84,0.8375,12.7832281672934,12.7629944383952,12.8034618961983,0,-1.74767392481302
169,0.84,0.845,0.8425,12.8216998874493,12.801400584098,12.8419991908035,0,-1.74662016834762
170,0.845,0.85,0.8475,12.8602094169833,12.8399221615675,12.8804966724128,0,-1.74818468062221
171,0.85,0.855,0.8525,12.8985963156362,12.8784000325168,12.9187925987731,0,-1.75288075310553
172,0.855,0.86,0.8575,12.9366982825354,12.9166717520408,12.9567248130501,0,-1.76122308140302
173,0.86,0.865,0.8625,12.9743542974552,12.9545743749788,12.994134219954,0,-1.77371780673847
174,0.865,0.87,0.8675,13.0114085045563,12.9919479255196,13.0308690836068,0,-1.79085021762336
175,0.87,0.875,0.8725,13.0477150035594,13.0286396912617,13.066790315857,0,-1.81306963254236
176,0.875,0.88,0.8775,13.0831437194692,13.064509514231,13.1017779246903,0,-1.84077098186633
177,0.88,0.885,0.8825,13.1175875088138,13.0994362514108,13.1357387662145,0,-1.87427268159695
178,0.885,0.89,0.8875,13.1509706168199,13.1333255538653,13.1686156797731,0,-1.91379057321391
179,0.89,0.895,0.8925,13.1832585117682,13.1661190501409,13.2003979733986,0,-1.95940802310782
180,0.895,0.9,0.8975,13.2144689742217,13.1978049065306,13.2311330419197,0,-2.01104280041267
181,0.9,0.905,0.9025,13.2446840943452,13.2284295542695,13.2609386344176,0,-2.06841210671279
182,0.905,0.91,0.9075,13.2740625204705,13.2581101039802,13.2900149369619,0,-2.13099812764258
